level,position,tech_stack,experience,gender,company,company_size,work_type,city,currency,salary,raise_period
2,22,1207,4,0,34,0,2,52,3,23,2
2,2,3,6,1,2,4,2,40,3,36,2
2,53,133,4,0,23,4,0,70,3,72,2
1,2,57,3,0,2,4,0,70,3,48,1
2,47,805,3,0,23,4,0,70,3,56,1
1,22,151,6,0,6,1,1,52,3,25,1
1,22,91,5,0,41,1,0,70,3,25,1
0,21,1024,1,0,4,1,2,70,3,87,1
1,22,3,6,0,2,4,0,70,3,47,1
0,21,1335,0,0,4,2,1,70,3,20,2
0,2,3,1,0,6,2,2,40,3,23,1
2,53,483,3,0,23,2,1,94,3,56,1
2,48,698,2,0,2,4,0,70,3,2,2
2,2,1247,6,1,34,3,2,70,3,49,2
0,21,896,1,0,34,5,2,71,3,13,1
2,21,876,7,0,34,3,0,70,3,85,2
1,22,60,5,0,20,4,1,40,3,38,2
2,47,3,3,1,23,4,2,70,3,78,1
2,53,3,5,0,34,1,0,71,3,50,1
1,19,18,1,0,23,1,1,40,3,32,2
